,sigma_mi,evoid_ratio,psi,eta,eta/Mtheta,theta,Dp,K,G,iplas,e,q,p,sx,sy,sz,sxy,ea,eps_v,eps_1,eps_2,eps_3,phase,s1,s2,s3,Mtheta,xi_i,Mi
0,301.955291748047,0.920256078243256,0.100000001490116,0.75,0.625,0.523598790168762,0.307566434144974,93333.3359375,70000.0,0,0.446000036480814,300.0,400.0,300.0,600.0,300.0,-1.95086248532536e-12,2.39999827282996,-3.5999975679457,0.0239999827282996,0.00599999479446555,0.00599999479446555,0,600.0,300.000001587115,299.999998412885,1.2,4.444444444444445,1.0444444421264862
1,301.955284782804,0.920256063586761,0.1,0.749999999999989,0.625000004288699,0.523598759587124,0.307566432056179,93333.3333333331,69999.9999999998,0,0.446,299.999999999994,399.999999999998,300.000000000001,599.999999999994,299.999999999999,-1.9508624652552e-12,2.39999999999999,-3.5999999999999996,0.0239999999999999,0.00600000007354906,0.00600000007354906,0,599.999999999994,299.999999968908,300.000000031092,1.1999999917656805,4.444444444444445,1.0444444372775368
2,301.955291748047,0.920313775539398,0.0998469740152359,0.755286991596222,0.629405796527862,0.523598790168762,0.302189667029067,93006.09375,69754.5703125,0,0.44604511188721,300.0,397.200012207031,297.200012207031,597.200012207031,297.200012207031,-1.90097794198413e-12,2.39899605377998,-3.59699254085266,0.0239899605377998,0.00598998269547943,0.00598998269547943,1,597.200012207031,297.200013799976,297.200010614087,1.200000056819921,4.444444444444445,1.0446825343308355
3,301.955291748047,0.92037171125412,0.0996926575899125,0.760649025440216,0.633874177932739,0.523598790168762,0.296737551689148,92677.703125,69508.2734375,0,0.44609033259912,300.0,394.400024414063,294.400024414063,594.400024414063,294.400024414063,-1.78028877795465e-12,2.3979918867853898,-3.59397782672531,0.0239799188678539,0.00597992980246871,0.00597992980246871,1,594.400024414063,294.400026018573,294.400022809552,1.2000000188064597,4.444444444444445,1.0449225490139917
4,301.955291748047,0.920429825782776,0.0995370373129845,0.766087770462037,0.638406455516815,0.523598790168762,0.291208386421204,92348.140625,69261.1015625,0,0.446135715693571,300.0,391.600036621094,291.600036621094,591.600036621094,291.600036621094,-1.81383935213451e-12,2.3969836719413,-3.59095228709526,0.023969836719413,0.00596984704065487,0.00596984704065487,1,591.600036621094,291.600038208209,291.600035033979,1.2000000373458928,4.444444444444445,1.0451646411514175
5,301.955291748047,0.920488119125366,0.0993800982832909,0.771604895591736,0.643004059791565,0.523598795213163,0.285600577870318,92017.390625,69013.046875,0,0.44618131388662,300.0,388.800048828125,288.800048828125,588.800048828125,288.800048828125,-1.85441629971567e-12,2.39596956309154,-3.58791240755869,0.0239596956309154,0.00595972010853022,0.00595972010853022,1,588.800048828125,288.80005041524,288.80004724101,1.2000000370788606,4.444444444444445,1.045408768305907
6,301.955291748047,0.920546710491181,0.0992218106985093,0.777202010154724,0.647668361663818,0.523598790168762,0.279912352561951,91685.453125,68764.09375,0,0.446227025884202,300.000030517578,386.000040690104,286.000030517578,586.000061035156,286.000030517578,-1.87238618566765e-12,2.39495400574756,-3.5848649410531905,0.0239495400574756,0.00594955474703073,0.00594955474703073,1,586.000061035156,286.000030517578,286.000030517578,1.19999996318817,4.444444444444445,1.0456549290585915
7,301.955291748047,0.920605421066285,0.0990621596574784,0.782880902290344,0.65240079164505,0.523598790168762,0.274142026901245,91352.3125,68514.234375,0,0.446272925196213,299.999969482422,383.200032552083,283.20004272461,583.200012207031,283.20004272461,-1.7182971121753e-12,2.39393420247431,-3.58180498691912,0.0239393420247431,0.0059393583241646,0.0059393583241646,1,583.200012207031,283.20004272461,283.200042724609,1.1999999269103951,4.444444444444445,1.0459032434955953
8,301.955291748047,0.920664429664612,0.098901130259037,0.788643479347229,0.657202899456024,0.523598748542569,0.268287748098374,91017.953125,68263.4609375,0,0.446318952694673,300.0,380.400024414063,280.400024414063,580.400024414063,280.400024414063,-1.74657890627375e-12,2.3929124023782102,-3.5787364870217804,0.0239291240237821,0.00592912118598734,0.00592912118598734,1,580.400024414063,280.400026854385,280.40002197374,1.2000000000000004,4.444444444444445,1.0461537973748316
9,301.955291748047,0.920723617076874,0.0987386852502823,0.794491469860077,0.662076177404322,0.523598790168762,0.262347668409348,90682.3593750001,68011.765625,0,0.446365192303663,300.0,377.600036621094,277.600036621094,577.600036621094,277.600036621094,-1.80436606815457e-12,2.39188413126916,-3.57565384642251,0.0239188413126916,0.00591884932249846,0.00591884932249846,1,577.600036621094,277.600038225604,277.600035016583,1.200000086054887,4.444444444444445,1.0464065646509988
