,sigma_mi,evoid_ratio,psi,eta,eta/Mtheta,theta,Dp,K,G,iplas,e,q,p,sx,sy,sz,sxy,ea,eps_v,eps_1,eps_2,eps_3,phase,s1,s2,s3,Mtheta,xi_i,Mi
0,37.1558269636353,0.961844894420358,0.1,1.00000000112058e-07,8.33336406063467e-08,0.523590174682051,1.09064263782037,46666.6666666664,34999.9999999998,0,0.490999999998446,9.30620477968552e-06,99.999999999999,99.9999966348097,100.000004925952,99.999998439235,2.18939713565069e-06,0.20000003704509797,-0.600000000103611,0.00200000037045098,0.00200000000034537,0.00200000000034537,0,100.000005966373,99.9999978482367,99.9999961853876,1.1999955766296138,4.444444444444445,1.044440594473923
1,38.3900589017165,0.961842894554138,0.0992574468255043,0.0733117027823276,0.0610930994425362,0.523598264451965,1.01581302548581,46094.2421875,34570.68359375,1,0.490998446496676,7.15242024008213,97.5618015712038,95.1776630795771,102.330081731257,95.1776599027769,-5.69480583751123e-07,0.212000169091176,-0.600103566888248,0.00212000169091176,0.00194051707463516,0.00194051707463516,1,102.330081731257,95.177663205442,95.1776597769119,1.1999997291229945,4.444444444444445,1.0455992911362693
2,39.6507498627734,0.961840867996216,0.0984128713607788,0.138899438252115,0.115749537732492,0.523598659364952,0.948720679018076,45451.47265625,34088.60546875,1,0.490996917797337,13.1759782578979,94.8598331648678,90.4678374040091,103.643818670132,90.467843420462,-1.29882979615195e-06,0.223999949433294,-0.600205480177564,0.00223999949433294,0.00188102765939194,0.00188102765939194,1,103.643818670132,90.4678425424946,90.4678382819764,1.1999999392924108,4.444444444444445,1.0469132582535803
3,40.8089431789763,0.961838901042938,0.0975419729948044,0.201468012666625,0.167890009351426,0.52359876500678,0.884811577474739,44797.9616299099,33598.47265625,1,0.490995432700605,18.5655990473011,92.1516164688377,85.9630828756986,104.528682500372,85.9630840304428,-1.35879767172963e-06,0.23599953939819202,-0.6003044866263579,0.00235999539398192,0.00182152615210184,0.00182152615210184,1,104.528682500372,85.9630839010265,85.9630830051148,1.200000008606312,4.444444444444445,1.0482680495261836
4,41.8584312466515,0.96183705329895,0.0966517180204392,0.260934321861579,0.217445274822073,0.523598786364265,0.824163252035658,44139.5513651152,33104.6640625,1,0.490993993727115,23.3439041752929,89.4627604271308,81.6814590353666,105.025363210659,81.6814590353666,-1.09339502943754e-06,0.24800019485672903,-0.6004004181923259,0.00248000194856729,0.00176200119659276,0.00176200119659276,1,105.025363210659,81.6814589833501,81.6814590873831,1.1999999635544687,4.444444444444445,1.0496528512000192
5,42.7959491239343,0.961835265159607,0.0957494080066681,0.317239071947165,0.264365890895473,0.523598745059615,0.766827636876264,43482.03125,32611.5234375,1,0.490992615448102,27.541826717776,86.8172615730392,77.6366516013097,105.17847938489,77.6366537329182,-7.76358864856516e-07,0.259999995312341,-0.600492303459841,0.00259999995312341,0.00170246370776411,0.00170246370776411,1,105.17847938489,77.6366537287873,77.6366516054406,1.200000010865991,4.444444444444445,1.0510564859513802
6,43.6210450342271,0.961833536624908,0.0948423533553981,0.370351845952963,0.308626547696955,0.523598781270475,0.7128263651506,42830.85546875,32123.142578125,1,0.490991321213609,31.1971222530902,84.2364316474317,73.8373908964017,105.034513149492,73.8373908964017,-5.37329941523887e-07,0.271999433371707,-0.600578585759382,0.00271999433371707,0.00164289624573644,0.00164289624573644,1,105.034513149492,73.8373908489692,73.8373909438341,1.1999999634400116,4.444444444444445,1.0524674182708826
7,44.335786715238,0.9618319272995,0.0939375907182694,0.42027140585806,0.350226176265359,0.523598752200041,0.662150863583033,42190.98046875,31643.2343038583,1,0.490990071967313,34.3522723681472,81.7383129834983,70.2875555275466,104.639827895596,70.2875555273518,-3.79468783048046e-07,0.283999846622067,-0.6006618688458419,0.00283999846622067,0.00158331059761497,0.00158331059761497,1,104.639827895596,70.2875556134937,70.2875554414046,1.1999999838379563,4.444444444444445,1.0538748446887156
8,44.9443339259314,0.961830377578735,0.093041615080347,0.467025915890848,0.389188272241235,0.523598746701937,0.614762546714215,41566.69140625,31175.01953125,1,0.490988893834666,37.0525702957881,79.3372871184683,66.9864304661204,104.039000648994,66.9864302402908,-2.75198933445563e-07,0.296000016128834,-0.600740411022245,0.00296000016128834,0.00152370219524758,0.00152370219524758,1,104.039000648994,66.9864304779836,66.9864302284276,1.1999999722534447,4.444444444444445,1.0552685743638477
9,45.4524513501545,0.961828947067261,0.0921602174639702,0.510671631806447,0.425559682963539,0.523598746702496,0.570594482748367,40961.5233289554,30721.1425069833,1,0.490987799765214,39.3441705141295,77.0439725613085,63.9292475032022,103.273419570728,63.929250609995,-1.87012908393701e-07,0.307999517059413,-0.600813348985744,0.00307999517059413,0.00146406952446097,0.00146406952446097,1,103.273419570728,63.9292505498767,63.9292475633205,1.2000000287860921,4.444444444444445,1.0566396870698187
